incident_id,incident_lat,incident_lon,incident_date,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_value,vehicle_color,owner_name,owner_address,owner_lat,owner_lon,owner_income,recovery_status,theft_method
NWK0001,40.693887843975205,-74.16838227041153,2024-11-01 13:03:04.751637,Honda,Civic,2021,sedan,49221,Red,Owner_1,"745 Sample St, Newark, NJ",40.759210408717806,-74.34892147519707,147074,Partial,Key Theft
NWK0002,40.695038593789555,-74.23179625684976,2025-02-15 13:03:04.751786,Toyota,Camry,2016,sedan,68479,Silver,Owner_2,"304 Sample St, Newark, NJ",40.82802949665458,-74.16752451037338,95451,Recovered,Key Theft
NWK0003,40.732763117199255,-74.19788362811414,2025-02-14 13:03:04.751831,Jeep,Wrangler,2010,suv,19414,Blue,Owner_3,"709 Sample St, Newark, NJ",40.77742632202561,-74.26300643051715,146483,Partial,Unknown
NWK0004,40.6966721003727,-74.27430551044766,2024-08-08 13:03:04.751871,Toyota,Camry,2023,sedan,63409,Silver,Owner_4,"392 Sample St, Newark, NJ",40.59628684762026,-74.15459384543,73997,Partial,Breaking
NWK0005,40.668947135908425,-74.26311020430639,2024-08-18 13:03:04.751909,Honda,Civic,2017,sedan,51692,Silver,Owner_5,"244 Sample St, Newark, NJ",40.69271147786778,-74.3051199148132,110377,Partial,Key Theft
NWK0006,40.681236664138204,-74.17180622581863,2024-11-20 13:03:04.751947,Audi,Q7,2023,suv,33741,Red,Owner_6,"225 Sample St, Newark, NJ",40.79142930724904,-74.25213213492005,58746,Partial,Carjacking
NWK0007,40.72869243775021,-74.19356938864304,2025-01-23 13:03:04.751985,Jeep,Wrangler,2010,suv,51117,Silver,Owner_7,"133 Sample St, Newark, NJ",40.7615496135879,-74.12235941976276,85069,Recovered,Carjacking
NWK0008,40.71684029617904,-74.2187574932014,2025-01-06 13:03:04.752019,Toyota,Camry,2018,sedan,56256,Black,Owner_8,"602 Sample St, Newark, NJ",40.71957083194436,-74.12755037705271,97844,Partial,Breaking
NWK0009,40.693671738923236,-74.25210399253346,2024-09-30 13:03:04.752056,Mercedes,C-Class,2010,sedan,17255,Black,Owner_9,"869 Sample St, Newark, NJ",40.67255859311739,-74.09837698582152,58072,Recovered,Unknown
NWK0010,40.71619165147269,-74.20758582019563,2024-10-03 13:03:04.752100,Ford,F-150,2016,truck,41415,White,Owner_10,"250 Sample St, Newark, NJ",40.78516946273192,-74.16077653169197,80155,Not Recovered,Carjacking
NWK0011,40.72223593505964,-74.21995596006732,2025-01-26 13:03:04.752137,Toyota,Camry,2011,sedan,75973,Red,Owner_11,"545 Sample St, Newark, NJ",40.598381533710075,-74.21465522421589,48277,Not Recovered,Carjacking
NWK0012,40.680151208914786,-74.19806326289455,2024-08-10 13:03:04.752171,Chevrolet,Silverado,2015,truck,22670,White,Owner_12,"916 Sample St, Newark, NJ",40.65854378316602,-74.35107552662568,70673,Not Recovered,Key Theft
NWK0013,40.746917637734775,-74.17876238248445,2025-06-28 13:03:04.752204,Nissan,Altima,2013,sedan,62899,Black,Owner_13,"501 Sample St, Newark, NJ",40.7650670567477,-74.23171070429255,62668,Partial,Carjacking
NWK0014,40.67023633647952,-74.24022563886042,2024-10-23 13:03:04.752237,Nissan,Altima,2016,sedan,70679,Silver,Owner_14,"746 Sample St, Newark, NJ",40.72376587068257,-74.32166498163005,32342,Not Recovered,Breaking
NWK0015,40.708409796891274,-74.19551994179788,2025-05-22 13:03:04.752269,Chevrolet,Silverado,2019,truck,66147,Silver,Owner_15,"269 Sample St, Newark, NJ",40.57533329634197,-74.2427835572837,34993,Recovered,Key Theft
NWK0016,40.660340296772254,-74.20360620561691,2025-03-22 13:03:04.752302,Toyota,Camry,2024,sedan,52768,Red,Owner_16,"631 Sample St, Newark, NJ",40.60117789056106,-74.07471036093567,83644,Recovered,Carjacking
